<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
USDCB;D;20150101;000000;56.2376000;56.2376000;56.2376000;56.2376000;0
USDCB;D;20150113;000000;62.7363000;62.7363000;62.7363000;62.7363000;0
USDCB;D;20150114;000000;64.8425000;64.8425000;64.8425000;64.8425000;0
USDCB;D;20150115;000000;66.0983000;66.0983000;66.0983000;66.0983000;0
USDCB;D;20150116;000000;64.8337000;64.8337000;64.8337000;64.8337000;0
USDCB;D;20150117;000000;65.1738000;65.1738000;65.1738000;65.1738000;0
USDCB;D;20150120;000000;64.9732000;64.9732000;64.9732000;64.9732000;0
USDCB;D;20150121;000000;64.9862000;64.9862000;64.9862000;64.9862000;0
USDCB;D;20150122;000000;65.5558000;65.5558000;65.5558000;65.5558000;0
USDCB;D;20150123;000000;65.4000000;65.4000000;65.4000000;65.4000000;0
USDCB;D;20150124;000000;63.3930000;63.3930000;63.3930000;63.3930000;0
USDCB;D;20150127;000000;65.5937000;65.5937000;65.5937000;65.5937000;0
USDCB;D;20150128;000000;67.8153000;67.8153000;67.8153000;67.8153000;0
USDCB;D;20150129;000000;67.1506000;67.1506000;67.1506000;67.1506000;0
USDCB;D;20150130;000000;68.7303000;68.7303000;68.7303000;68.7303000;0
USDCB;D;20150131;000000;68.9291000;68.9291000;68.9291000;68.9291000;0
USDCB;D;20150203;000000;69.6640000;69.6640000;69.6640000;69.6640000;0
USDCB;D;20150204;000000;67.7727000;67.7727000;67.7727000;67.7727000;0
USDCB;D;20150205;000000;65.4470000;65.4470000;65.4470000;65.4470000;0
USDCB;D;20150206;000000;68.6113000;68.6113000;68.6113000;68.6113000;0
USDCB;D;20150207;000000;66.0432000;66.0432000;66.0432000;66.0432000;0
USDCB;D;20150210;000000;65.7817000;65.7817000;65.7817000;65.7817000;0
USDCB;D;20150211;000000;65.4469000;65.4469000;65.4469000;65.4469000;0
USDCB;D;20150212;000000;66.0585000;66.0585000;66.0585000;66.0585000;0
USDCB;D;20150213;000000;66.0994000;66.0994000;66.0994000;66.0994000;0
USDCB;D;20150214;000000;65.0862000;65.0862000;65.0862000;65.0862000;0
USDCB;D;20150217;000000;62.6632000;62.6632000;62.6632000;62.6632000;0
USDCB;D;20150218;000000;62.8353000;62.8353000;62.8353000;62.8353000;0
USDCB;D;20150219;000000;62.4001000;62.4001000;62.4001000;62.4001000;0
USDCB;D;20150220;000000;62.1307000;62.1307000;62.1307000;62.1307000;0
USDCB;D;20150221;000000;61.7235000;61.7235000;61.7235000;61.7235000;0
USDCB;D;20150225;000000;63.5083000;63.5083000;63.5083000;63.5083000;0
USDCB;D;20150226;000000;62.5906000;62.5906000;62.5906000;62.5906000;0
USDCB;D;20150227;000000;60.7109000;60.7109000;60.7109000;60.7109000;0
USDCB;D;20150228;000000;61.2718000;61.2718000;61.2718000;61.2718000;0
USDCB;D;20150303;000000;62.2248000;62.2248000;62.2248000;62.2248000;0
USDCB;D;20150304;000000;62.3649000;62.3649000;62.3649000;62.3649000;0
USDCB;D;20150305;000000;61.8745000;61.8745000;61.8745000;61.8745000;0
USDCB;D;20150306;000000;61.8457000;61.8457000;61.8457000;61.8457000;0
USDCB;D;20150307;000000;59.9938000;59.9938000;59.9938000;59.9938000;0
USDCB;D;20150311;000000;60.6649000;60.6649000;60.6649000;60.6649000;0
USDCB;D;20150312;000000;62.6797000;62.6797000;62.6797000;62.6797000;0
USDCB;D;20150313;000000;60.9595000;60.9595000;60.9595000;60.9595000;0
USDCB;D;20150314;000000;61.3167000;61.3167000;61.3167000;61.3167000;0
USDCB;D;20150317;000000;62.1497000;62.1497000;62.1497000;62.1497000;0
USDCB;D;20150318;000000;61.7510000;61.7510000;61.7510000;61.7510000;0
USDCB;D;20150319;000000;61.3483000;61.3483000;61.3483000;61.3483000;0
USDCB;D;20150320;000000;59.8308000;59.8308000;59.8308000;59.8308000;0
USDCB;D;20150321;000000;60.0341000;60.0341000;60.0341000;60.0341000;0
USDCB;D;20150324;000000;59.4452000;59.4452000;59.4452000;59.4452000;0
USDCB;D;20150325;000000;58.7710000;58.7710000;58.7710000;58.7710000;0
USDCB;D;20150326;000000;57.3879000;57.3879000;57.3879000;57.3879000;0
USDCB;D;20150327;000000;56.4271000;56.4271000;56.4271000;56.4271000;0
USDCB;D;20150328;000000;57.7279000;57.7279000;57.7279000;57.7279000;0
USDCB;D;20150331;000000;58.4643000;58.4643000;58.4643000;58.4643000;0
USDCB;D;20150401;000000;57.6500000;57.6500000;57.6500000;57.6500000;0
USDCB;D;20150402;000000;58.3536000;58.3536000;58.3536000;58.3536000;0
USDCB;D;20150403;000000;56.9902000;56.9902000;56.9902000;56.9902000;0
USDCB;D;20150404;000000;56.7534000;56.7534000;56.7534000;56.7534000;0
USDCB;D;20150407;000000;56.5161000;56.5161000;56.5161000;56.5161000;0
USDCB;D;20150408;000000;55.3328000;55.3328000;55.3328000;55.3328000;0
USDCB;D;20150409;000000;54.0270000;54.0270000;54.0270000;54.0270000;0
USDCB;D;20150410;000000;52.5424000;52.5424000;52.5424000;52.5424000;0
USDCB;D;20150411;000000;51.0678000;51.0678000;51.0678000;51.0678000;0
USDCB;D;20150414;000000;52.4220000;52.4220000;52.4220000;52.4220000;0
USDCB;D;20150415;000000;51.9749000;51.9749000;51.9749000;51.9749000;0
USDCB;D;20150416;000000;50.5033000;50.5033000;50.5033000;50.5033000;0
USDCB;D;20150417;000000;49.6749000;49.6749000;49.6749000;49.6749000;0
USDCB;D;20150418;000000;50.5295000;50.5295000;50.5295000;50.5295000;0
USDCB;D;20150421;000000;51.5207000;51.5207000;51.5207000;51.5207000;0
USDCB;D;20150422;000000;53.9728000;53.9728000;53.9728000;53.9728000;0
USDCB;D;20150423;000000;53.6555000;53.6555000;53.6555000;53.6555000;0
USDCB;D;20150424;000000;51.6011000;51.6011000;51.6011000;51.6011000;0
USDCB;D;20150425;000000;50.2473000;50.2473000;50.2473000;50.2473000;0
USDCB;D;20150428;000000;51.4690000;51.4690000;51.4690000;51.4690000;0
USDCB;D;20150429;000000;52.3041000;52.3041000;52.3041000;52.3041000;0
USDCB;D;20150430;000000;51.7029000;51.7029000;51.7029000;51.7029000;0
USDCB;D;20150501;000000;51.1388000;51.1388000;51.1388000;51.1388000;0
USDCB;D;20150506;000000;51.7574000;51.7574000;51.7574000;51.7574000;0
USDCB;D;20150507;000000;49.9816000;49.9816000;49.9816000;49.9816000;0
USDCB;D;20150508;000000;50.3615000;50.3615000;50.3615000;50.3615000;0
USDCB;D;20150509;000000;50.7511000;50.7511000;50.7511000;50.7511000;0
USDCB;D;20150513;000000;50.9140000;50.9140000;50.9140000;50.9140000;0
USDCB;D;20150514;000000;49.5366000;49.5366000;49.5366000;49.5366000;0
USDCB;D;20150515;000000;50.0774000;50.0774000;50.0774000;50.0774000;0
USDCB;D;20150516;000000;50.0115000;50.0115000;50.0115000;50.0115000;0
USDCB;D;20150519;000000;49.2175000;49.2175000;49.2175000;49.2175000;0
USDCB;D;20150520;000000;49.1777000;49.1777000;49.1777000;49.1777000;0
USDCB;D;20150521;000000;49.7919000;49.7919000;49.7919000;49.7919000;0
USDCB;D;20150522;000000;49.9204000;49.9204000;49.9204000;49.9204000;0
USDCB;D;20150523;000000;49.7901000;49.7901000;49.7901000;49.7901000;0
USDCB;D;20150526;000000;49.8613000;49.8613000;49.8613000;49.8613000;0
USDCB;D;20150527;000000;50.3223000;50.3223000;50.3223000;50.3223000;0
USDCB;D;20150528;000000;51.0178000;51.0178000;51.0178000;51.0178000;0
USDCB;D;20150529;000000;52.2907000;52.2907000;52.2907000;52.2907000;0
USDCB;D;20150530;000000;52.9716000;52.9716000;52.9716000;52.9716000;0
