<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
USDCB;D;20170110;0;59.8961;59.8961;59.8961;59.8961;0
USDCB;D;20170111;0;59.9533;59.9533;59.9533;59.9533;0
USDCB;D;20170112;0;60.1614;60.1614;60.1614;60.1614;0
USDCB;D;20170113;0;59.4978;59.4978;59.4978;59.4978;0
USDCB;D;20170114;0;59.37;59.37;59.37;59.37;0
USDCB;D;20170117;0;59.6067;59.6067;59.6067;59.6067;0
USDCB;D;20170118;0;59.4015;59.4015;59.4015;59.4015;0
USDCB;D;20170119;0;59.183;59.183;59.183;59.183;0
USDCB;D;20170120;0;59.3521;59.3521;59.3521;59.3521;0
USDCB;D;20170121;0;59.6697;59.6697;59.6697;59.6697;0
USDCB;D;20170124;0;59.5034;59.5034;59.5034;59.5034;0
USDCB;D;20170125;0;59.2168;59.2168;59.2168;59.2168;0
USDCB;D;20170126;0;59.1489;59.1489;59.1489;59.1489;0
USDCB;D;20170127;0;59.6356;59.6356;59.6356;59.6356;0
USDCB;D;20170128;0;60.3196;60.3196;60.3196;60.3196;0
USDCB;D;20170131;0;60.1618;60.1618;60.1618;60.1618;0
USDCB;D;20170201;0;60.0851;60.0851;60.0851;60.0851;0
USDCB;D;20170202;0;60.3099;60.3099;60.3099;60.3099;0
USDCB;D;20170203;0;59.9858;59.9858;59.9858;59.9858;0
USDCB;D;20170204;0;59.3137;59.3137;59.3137;59.3137;0
USDCB;D;20170207;0;58.7121;58.7121;58.7121;58.7121;0
USDCB;D;20170208;0;59.1933;59.1933;59.1933;59.1933;0
USDCB;D;20170209;0;59.5129;59.5129;59.5129;59.5129;0
USDCB;D;20170210;0;59.0235;59.0235;59.0235;59.0235;0
USDCB;D;20170211;0;58.8457;58.8457;58.8457;58.8457;0
USDCB;D;20170214;0;58.0619;58.0619;58.0619;58.0619;0
USDCB;D;20170215;0;57.7388;57.7388;57.7388;57.7388;0
USDCB;D;20170216;0;56.7719;56.7719;56.7719;56.7719;0
USDCB;D;20170217;0;57.1507;57.1507;57.1507;57.1507;0
USDCB;D;20170218;0;57.6342;57.6342;57.6342;57.6342;0
USDCB;D;20170221;0;58.0967;58.0967;58.0967;58.0967;0
USDCB;D;20170222;0;57.859;57.859;57.859;57.859;0
USDCB;D;20170223;0;57.4762;57.4762;57.4762;57.4762;0
USDCB;D;20170228;0;57.9371;57.9371;57.9371;57.9371;0
USDCB;D;20170301;0;57.9627;57.9627;57.9627;57.9627;0
USDCB;D;20170302;0;58.3776;58.3776;58.3776;58.3776;0
USDCB;D;20170303;0;58.4067;58.4067;58.4067;58.4067;0
USDCB;D;20170304;0;58.9099;58.9099;58.9099;58.9099;0
USDCB;D;20170307;0;58.337;58.337;58.337;58.337;0
USDCB;D;20170308;0;58.263;58.263;58.263;58.263;0
USDCB;D;20170310;0;58.8318;58.8318;58.8318;58.8318;0
USDCB;D;20170311;0;59.2174;59.2174;59.2174;59.2174;0
USDCB;D;20170314;0;59.1327;59.1327;59.1327;59.1327;0
USDCB;D;20170315;0;58.954;58.954;58.954;58.954;0
USDCB;D;20170316;0;59.1128;59.1128;59.1128;59.1128;0
USDCB;D;20170317;0;58.2437;58.2437;58.2437;58.2437;0
USDCB;D;20170318;0;57.9344;57.9344;57.9344;57.9344;0
USDCB;D;20170321;0;57.2847;57.2847;57.2847;57.2847;0
USDCB;D;20170322;0;57.2323;57.2323;57.2323;57.2323;0
USDCB;D;20170323;0;57.636;57.636;57.636;57.636;0
USDCB;D;20170324;0;57.5228;57.5228;57.5228;57.5228;0
USDCB;D;20170325;0;57.4247;57.4247;57.4247;57.4247;0
USDCB;D;20170328;0;57.0233;57.0233;57.0233;57.0233;0
USDCB;D;20170329;0;56.9364;56.9364;56.9364;56.9364;0
USDCB;D;20170330;0;57.0241;57.0241;57.0241;57.0241;0
USDCB;D;20170331;0;56.3779;56.3779;56.3779;56.3779;0
USDCB;D;20170401;0;55.9606;55.9606;55.9606;55.9606;0
USDCB;D;20170404;0;56.1396;56.1396;56.1396;56.1396;0
USDCB;D;20170405;0;56.5553;56.5553;56.5553;56.5553;0
USDCB;D;20170406;0;55.894;55.894;55.894;55.894;0
USDCB;D;20170407;0;56.4369;56.4369;56.4369;56.4369;0
USDCB;D;20170408;0;56.9201;56.9201;56.9201;56.9201;0
USDCB;D;20170411;0;57.3896;57.3896;57.3896;57.3896;0
USDCB;D;20170412;0;56.9552;56.9552;56.9552;56.9552;0
USDCB;D;20170413;0;56.7556;56.7556;56.7556;56.7556;0
USDCB;D;20170414;0;56.6019;56.6019;56.6019;56.6019;0
USDCB;D;20170415;0;56.2945;56.2945;56.2945;56.2945;0
USDCB;D;20170418;0;56.2505;56.2505;56.2505;56.2505;0
USDCB;D;20170419;0;55.9793;55.9793;55.9793;55.9793;0
USDCB;D;20170420;0;56.1753;56.1753;56.1753;56.1753;0
USDCB;D;20170421;0;56.4165;56.4165;56.4165;56.4165;0
USDCB;D;20170422;0;56.2307;56.2307;56.2307;56.2307;0
USDCB;D;20170425;0;56.0794;56.0794;56.0794;56.0794;0
USDCB;D;20170426;0;55.8453;55.8453;55.8453;55.8453;0
USDCB;D;20170427;0;56.3131;56.3131;56.3131;56.3131;0
USDCB;D;20170428;0;56.9707;56.9707;56.9707;56.9707;0
USDCB;D;20170429;0;56.9838;56.9838;56.9838;56.9838;0
USDCB;D;20170503;0;56.9518;56.9518;56.9518;56.9518;0
USDCB;D;20170504;0;57.0927;57.0927;57.0927;57.0927;0
USDCB;D;20170505;0;57.5714;57.5714;57.5714;57.5714;0
USDCB;D;20170506;0;58.5382;58.5382;58.5382;58.5382;0
USDCB;D;20170511;0;58.0824;58.0824;58.0824;58.0824;0
USDCB;D;20170512;0;57.1161;57.1161;57.1161;57.1161;0
USDCB;D;20170513;0;57.164;57.164;57.164;57.164;0
USDCB;D;20170516;0;56.5258;56.5258;56.5258;56.5258;0
USDCB;D;20170517;0;56.2603;56.2603;56.2603;56.2603;0
USDCB;D;20170518;0;56.7383;56.7383;56.7383;56.7383;0
USDCB;D;20170519;0;57.4683;57.4683;57.4683;57.4683;0
USDCB;D;20170520;0;57.1602;57.1602;57.1602;57.1602;0
USDCB;D;20170523;0;56.4988;56.4988;56.4988;56.4988;0
USDCB;D;20170524;0;56.5552;56.5552;56.5552;56.5552;0
USDCB;D;20170525;0;56.2743;56.2743;56.2743;56.2743;0
USDCB;D;20170526;0;56.0701;56.0701;56.0701;56.0701;0
USDCB;D;20170527;0;56.756;56.756;56.756;56.756;0
USDCB;D;20170530;0;56.7106;56.7106;56.7106;56.7106;0
USDCB;D;20170531;0;56.5168;56.5168;56.5168;56.5168;0
USDCB;D;20170601;0;56.6876;56.6876;56.6876;56.6876;0
USDCB;D;20170602;0;56.5373;56.5373;56.5373;56.5373;0
USDCB;D;20170603;0;56.6876;56.6876;56.6876;56.6876;0
USDCB;D;20170606;0;56.6152;56.6152;56.6152;56.6152;0
USDCB;D;20170607;0;56.6747;56.6747;56.6747;56.6747;0
USDCB;D;20170608;0;56.5878;56.5878;56.5878;56.5878;0
USDCB;D;20170609;0;56.9857;56.9857;56.9857;56.9857;0
USDCB;D;20170610;0;57.002;57.002;57.002;57.002;0
USDCB;D;20170614;0;56.9096;56.9096;56.9096;56.9096;0
USDCB;D;20170615;0;57.0303;57.0303;57.0303;57.0303;0
USDCB;D;20170616;0;57.4437;57.4437;57.4437;57.4437;0
USDCB;D;20170617;0;57.7408;57.7408;57.7408;57.7408;0
USDCB;D;20170620;0;57.9585;57.9585;57.9585;57.9585;0
USDCB;D;20170621;0;58.5786;58.5786;58.5786;58.5786;0
USDCB;D;20170622;0;60;60;60;60;0
USDCB;D;20170623;0;60.1482;60.1482;60.1482;60.1482;0
USDCB;D;20170624;0;59.6564;59.6564;59.6564;59.6564;0
USDCB;D;20170627;0;59.0014;59.0014;59.0014;59.0014;0
USDCB;D;20170628;0;58.8843;58.8843;58.8843;58.8843;0
USDCB;D;20170629;0;59.5415;59.5415;59.5415;59.5415;0
USDCB;D;20170630;0;59.0855;59.0855;59.0855;59.0855;0
USDCB;D;20170701;0;59.3862;59.3862;59.3862;59.3862;0
USDCB;D;20170704;0;58.9695;58.9695;58.9695;58.9695;0
USDCB;D;20170705;0;59.2295;59.2295;59.2295;59.2295;0
USDCB;D;20170706;0;59.5787;59.5787;59.5787;59.5787;0
USDCB;D;20170707;0;60.2426;60.2426;60.2426;60.2426;0
USDCB;D;20170708;0;60.3792;60.3792;60.3792;60.3792;0
USDCB;D;20170711;0;60.3014;60.3014;60.3014;60.3014;0
USDCB;D;20170712;0;60.7397;60.7397;60.7397;60.7397;0
USDCB;D;20170713;0;60.6227;60.6227;60.6227;60.6227;0
USDCB;D;20170714;0;60.1836;60.1836;60.1836;60.1836;0
USDCB;D;20170715;0;59.8806;59.8806;59.8806;59.8806;0
USDCB;D;20170718;0;59.0657;59.0657;59.0657;59.0657;0
USDCB;D;20170719;0;59.3705;59.3705;59.3705;59.3705;0
USDCB;D;20170720;0;59.2418;59.2418;59.2418;59.2418;0
