Date,date,i
2017-01-01,2017-01-01,10.0
2017-01-02,2017-01-02,10.0
2017-01-03,2017-01-03,10.0
2017-01-04,2017-01-04,10.0
2017-01-05,2017-01-05,10.0
2017-01-06,2017-01-06,10.0
2017-01-07,2017-01-07,10.0
2017-01-08,2017-01-08,10.0
2017-01-09,2017-01-09,10.0
2017-01-10,2017-01-10,10.0
2017-01-11,2017-01-11,10.0
2017-01-12,2017-01-12,10.0
2017-01-13,2017-01-13,10.0
2017-01-14,2017-01-14,10.0
2017-01-15,2017-01-15,10.0
2017-01-16,2017-01-16,10.0
2017-01-17,2017-01-17,10.0
2017-01-18,2017-01-18,10.0
2017-01-19,2017-01-19,10.0
2017-01-20,2017-01-20,10.0
2017-01-21,2017-01-21,10.0
2017-01-22,2017-01-22,10.0
2017-01-23,2017-01-23,10.0
2017-01-24,2017-01-24,10.0
2017-01-25,2017-01-25,10.0
2017-01-26,2017-01-26,10.0
2017-01-27,2017-01-27,10.0
2017-01-28,2017-01-28,10.0
2017-01-29,2017-01-29,10.0
2017-01-30,2017-01-30,10.0
2017-01-31,2017-01-31,10.0
2017-02-01,2017-02-01,10.0
2017-02-02,2017-02-02,10.0
2017-02-03,2017-02-03,10.0
2017-02-04,2017-02-04,10.0
2017-02-05,2017-02-05,10.0
2017-02-06,2017-02-06,10.0
2017-02-07,2017-02-07,10.0
2017-02-08,2017-02-08,10.0
2017-02-09,2017-02-09,10.0
2017-02-10,2017-02-10,10.0
2017-02-11,2017-02-11,10.0
2017-02-12,2017-02-12,10.0
2017-02-13,2017-02-13,10.0
2017-02-14,2017-02-14,10.0
2017-02-15,2017-02-15,10.0
2017-02-16,2017-02-16,10.0
2017-02-17,2017-02-17,10.0
2017-02-18,2017-02-18,10.0
2017-02-19,2017-02-19,10.0
2017-02-20,2017-02-20,10.0
2017-02-21,2017-02-21,10.0
2017-02-22,2017-02-22,10.0
2017-02-23,2017-02-23,10.0
2017-02-24,2017-02-24,10.0
2017-02-25,2017-02-25,10.0
2017-02-26,2017-02-26,10.0
2017-02-27,2017-02-27,10.0
2017-02-28,2017-02-28,10.0
2017-03-01,2017-03-01,10.0
2017-03-02,2017-03-02,10.0
2017-03-03,2017-03-03,10.0
2017-03-04,2017-03-04,10.0
2017-03-05,2017-03-05,10.0
2017-03-06,2017-03-06,10.0
2017-03-07,2017-03-07,10.0
2017-03-08,2017-03-08,10.0
2017-03-09,2017-03-09,10.0
2017-03-10,2017-03-10,10.0
2017-03-11,2017-03-11,10.0
2017-03-12,2017-03-12,10.0
2017-03-13,2017-03-13,10.0
2017-03-14,2017-03-14,10.0
2017-03-15,2017-03-15,10.0
2017-03-16,2017-03-16,10.0
2017-03-17,2017-03-17,10.0
2017-03-18,2017-03-18,10.0
2017-03-19,2017-03-19,10.0
2017-03-20,2017-03-20,10.0
2017-03-21,2017-03-21,10.0
2017-03-22,2017-03-22,10.0
2017-03-23,2017-03-23,10.0
2017-03-24,2017-03-24,10.0
2017-03-25,2017-03-25,10.0
2017-03-26,2017-03-26,10.0
2017-03-27,2017-03-27,9.75
2017-03-28,2017-03-28,9.75
2017-03-29,2017-03-29,9.75
2017-03-30,2017-03-30,9.75
2017-03-31,2017-03-31,9.75
2017-04-01,2017-04-01,9.75
2017-04-02,2017-04-02,9.75
2017-04-03,2017-04-03,9.75
2017-04-04,2017-04-04,9.75
2017-04-05,2017-04-05,9.75
